video,subject,action,viewpoint
a01/v01_s08_e04.avi,8,1,1
a01/v02_s08_e04.avi,8,1,2
a01/v01_s09_e03.avi,9,1,1
a01/v02_s09_e03.avi,9,1,2
a01/v01_s08_e00.avi,8,1,1
a01/v02_s08_e00.avi,8,1,2
a01/v02_s01_e01.avi,1,1,2
a01/v01_s01_e01.avi,1,1,1
a01/v02_s03_e01.avi,3,1,2
a01/v01_s03_e01.avi,3,1,1
a01/v01_s07_e02.avi,7,1,1
a01/v02_s07_e02.avi,7,1,2
a01/v01_s10_e01.avi,10,1,1
a01/v02_s10_e01.avi,10,1,2
a01/v01_s02_e00.avi,2,1,1
a01/v02_s02_e00.avi,2,1,2
a01/v02_s02_e03.avi,2,1,2
a01/v01_s02_e03.avi,2,1,1
a01/v01_s08_e01.avi,8,1,1
a01/v02_s08_e01.avi,8,1,2
a01/v01_s09_e01.avi,9,1,1
a01/v02_s09_e01.avi,9,1,2
a01/v01_s01_e02.avi,1,1,1
a01/v02_s01_e02.avi,1,1,2
a01/v02_s04_e00.avi,4,1,2
a01/v01_s04_e00.avi,4,1,1
a01/v02_s07_e01.avi,7,1,2
a01/v01_s07_e01.avi,7,1,1
a01/v02_s04_e02.avi,4,1,2
a01/v01_s04_e02.avi,4,1,1
a01/v01_s07_e00.avi,7,1,1
a01/v02_s07_e00.avi,7,1,2
a01/v01_s02_e04.avi,2,1,1
a01/v02_s02_e04.avi,2,1,2
a01/v01_s06_e04.avi,6,1,1
a01/v02_s06_e04.avi,6,1,2
a01/v02_s01_e04.avi,1,1,2
a01/v01_s01_e04.avi,1,1,1
a01/v01_s10_e04.avi,10,1,1
a01/v02_s10_e04.avi,10,1,2
a01/v01_s09_e00.avi,9,1,1
a01/v02_s09_e00.avi,9,1,2
a01/v02_s01_e00.avi,1,1,2
a01/v01_s01_e00.avi,1,1,1
a01/v01_s09_e02.avi,9,1,1
a01/v02_s09_e02.avi,9,1,2
a01/v01_s04_e03.avi,4,1,1
a01/v02_s04_e03.avi,4,1,2
a01/v01_s07_e03.avi,7,1,1
a01/v02_s07_e03.avi,7,1,2
a01/v01_s02_e01.avi,2,1,1
a01/v02_s02_e01.avi,2,1,2
a01/v01_s03_e02.avi,3,1,1
a01/v02_s03_e02.avi,3,1,2
a01/v01_s10_e02.avi,10,1,1
a01/v02_s10_e02.avi,10,1,2
a01/v02_s03_e03.avi,3,1,2
a01/v01_s03_e03.avi,3,1,1
a01/v01_s09_e04.avi,9,1,1
a01/v02_s09_e04.avi,9,1,2
a01/v02_s07_e04.avi,7,1,2
a01/v01_s07_e04.avi,7,1,1
a01/v01_s06_e01.avi,6,1,1
a01/v02_s06_e01.avi,6,1,2
a01/v02_s08_e02.avi,8,1,2
a01/v01_s08_e02.avi,8,1,1
a01/v01_s04_e01.avi,4,1,1
a01/v02_s04_e01.avi,4,1,2
a01/v01_s08_e03.avi,8,1,1
a01/v02_s08_e03.avi,8,1,2
a01/v02_s03_e00.avi,3,1,2
a01/v01_s03_e00.avi,3,1,1
a01/v01_s03_e04.avi,3,1,1
a01/v02_s03_e04.avi,3,1,2
a01/v02_s06_e02.avi,6,1,2
a01/v01_s06_e02.avi,6,1,1
a01/v01_s02_e02.avi,2,1,1
a01/v02_s02_e02.avi,2,1,2
a01/v01_s04_e04.avi,4,1,1
a01/v02_s04_e04.avi,4,1,2
a01/v01_s01_e03.avi,1,1,1
a01/v02_s01_e03.avi,1,1,2
a01/v01_s06_e00.avi,6,1,1
a01/v02_s06_e00.avi,6,1,2
a02/v01_s10_e00.avi,10,2,1
a02/v02_s10_e00.avi,10,2,2
a02/v01_s08_e04.avi,8,2,1
a02/v02_s08_e04.avi,8,2,2
a02/v01_s09_e03.avi,9,2,1
a02/v02_s09_e03.avi,9,2,2
a02/v01_s08_e00.avi,8,2,1
a02/v02_s08_e00.avi,8,2,2
a02/v02_s01_e01.avi,1,2,2
a02/v01_s01_e01.avi,1,2,1
a02/v02_s03_e01.avi,3,2,2
a02/v01_s03_e01.avi,3,2,1
a02/v01_s07_e02.avi,7,2,1
a02/v02_s07_e02.avi,7,2,2
a02/v01_s10_e01.avi,10,2,1
a02/v02_s10_e01.avi,10,2,2
a02/v01_s02_e00.avi,2,2,1
a02/v02_s02_e00.avi,2,2,2
a02/v02_s02_e03.avi,2,2,2
a02/v01_s02_e03.avi,2,2,1
a02/v01_s08_e01.avi,8,2,1
a02/v02_s08_e01.avi,8,2,2
a02/v01_s09_e01.avi,9,2,1
a02/v02_s09_e01.avi,9,2,2
a02/v01_s01_e02.avi,1,2,1
a02/v02_s01_e02.avi,1,2,2
a02/v02_s04_e00.avi,4,2,2
a02/v01_s04_e00.avi,4,2,1
a02/v02_s07_e01.avi,7,2,2
a02/v01_s07_e01.avi,7,2,1
a02/v02_s04_e02.avi,4,2,2
a02/v01_s04_e02.avi,4,2,1
a02/v01_s07_e00.avi,7,2,1
a02/v02_s07_e00.avi,7,2,2
a02/v01_s02_e04.avi,2,2,1
a02/v02_s02_e04.avi,2,2,2
a02/v01_s06_e04.avi,6,2,1
a02/v02_s06_e04.avi,6,2,2
a02/v02_s01_e04.avi,1,2,2
a02/v01_s01_e04.avi,1,2,1
a02/v01_s10_e04.avi,10,2,1
a02/v02_s10_e04.avi,10,2,2
a02/v01_s09_e00.avi,9,2,1
a02/v02_s09_e00.avi,9,2,2
a02/v02_s01_e00.avi,1,2,2
a02/v01_s01_e00.avi,1,2,1
a02/v01_s09_e02.avi,9,2,1
a02/v02_s09_e02.avi,9,2,2
a02/v01_s04_e03.avi,4,2,1
a02/v02_s04_e03.avi,4,2,2
a02/v01_s02_e01.avi,2,2,1
a02/v02_s02_e01.avi,2,2,2
a02/v01_s03_e02.avi,3,2,1
a02/v02_s03_e02.avi,3,2,2
a02/v01_s10_e02.avi,10,2,1
a02/v02_s10_e02.avi,10,2,2
a02/v02_s06_e03.avi,6,2,2
a02/v01_s06_e03.avi,6,2,1
a02/v02_s03_e03.avi,3,2,2
a02/v01_s03_e03.avi,3,2,1
a02/v02_s07_e04.avi,7,2,2
a02/v01_s07_e04.avi,7,2,1
a02/v01_s06_e01.avi,6,2,1
a02/v02_s06_e01.avi,6,2,2
a02/v02_s08_e02.avi,8,2,2
a02/v01_s08_e02.avi,8,2,1
a02/v01_s04_e01.avi,4,2,1
a02/v02_s04_e01.avi,4,2,2
a02/v01_s08_e03.avi,8,2,1
a02/v02_s08_e03.avi,8,2,2
a02/v02_s03_e00.avi,3,2,2
a02/v01_s03_e00.avi,3,2,1
a02/v01_s03_e04.avi,3,2,1
a02/v02_s03_e04.avi,3,2,2
a02/v02_s06_e02.avi,6,2,2
a02/v01_s06_e02.avi,6,2,1
a02/v01_s02_e02.avi,2,2,1
a02/v02_s02_e02.avi,2,2,2
a02/v01_s04_e04.avi,4,2,1
a02/v02_s04_e04.avi,4,2,2
a02/v01_s01_e03.avi,1,2,1
a02/v02_s01_e03.avi,1,2,2
a02/v01_s06_e00.avi,6,2,1
a02/v02_s06_e00.avi,6,2,2
a02/v01_s07_e05.avi,7,2,1
a02/v02_s07_e05.avi,7,2,2
a03/v01_s10_e00.avi,10,3,1
a03/v02_s10_e00.avi,10,3,2
a03/v01_s08_e00.avi,8,3,1
a03/v02_s08_e00.avi,8,3,2
a03/v02_s01_e01.avi,1,3,2
a03/v01_s01_e01.avi,1,3,1
a03/v02_s03_e01.avi,3,3,2
a03/v01_s03_e01.avi,3,3,1
a03/v01_s02_e00.avi,2,3,1
a03/v02_s02_e00.avi,2,3,2
a03/v02_s02_e03.avi,2,3,2
a03/v01_s02_e03.avi,2,3,1
a03/v01_s08_e01.avi,8,3,1
a03/v02_s08_e01.avi,8,3,2
a03/v02_s10_e03.avi,10,3,2
a03/v01_s10_e03.avi,10,3,1
a03/v01_s01_e02.avi,1,3,1
a03/v02_s01_e02.avi,1,3,2
a03/v02_s04_e00.avi,4,3,2
a03/v01_s04_e00.avi,4,3,1
a03/v02_s07_e01.avi,7,3,2
a03/v01_s07_e01.avi,7,3,1
a03/v02_s04_e02.avi,4,3,2
a03/v01_s04_e02.avi,4,3,1
a03/v01_s07_e00.avi,7,3,1
a03/v02_s07_e00.avi,7,3,2
a03/v01_s02_e04.avi,2,3,1
a03/v02_s02_e04.avi,2,3,2
a03/v02_s01_e04.avi,1,3,2
