video_id,subject,action,camera,repetition,setup
N0311V2S0A44R2.avi,0,44,2,2,311
N0312V2S0A38R2.avi,0,38,2,2,312
N0314V3S0A31R2.avi,0,31,3,2,314
N0305V1S0A15R2.avi,0,15,1,2,305
N0323V1S0A07R2.avi,0,7,1,2,323
N0298V1S0A14R2.avi,0,14,1,2,298
N0295V1S0A43R2.avi,0,43,1,2,295
N0317V1S0A32R2.avi,0,32,1,2,317
N0315V3S0A33R2.avi,0,33,3,2,315
N0324V3S0A11R2.avi,0,11,3,2,324
N0333V3S0A50R2.avi,0,50,3,2,333
N0310V3S0A38R2.avi,0,38,3,2,310
N0293V1S0A46R2.avi,0,46,1,2,293
N0320V2S0A37R2.avi,0,37,2,2,320
N0303V2S0A15R2.avi,0,15,2,2,303
N0321V1S0A34R2.avi,0,34,1,2,321
N0324V3S0A47R2.avi,0,47,3,2,324
N0301V1S0A35R2.avi,0,35,1,2,301
N0325V2S0A43R2.avi,0,43,2,2,325
N0315V2S0A42R2.avi,0,42,2,2,315
N0293V1S0A17R2.avi,0,17,1,2,293
N0317V3S0A29R2.avi,0,29,3,2,317
N0293V3S0A03R2.avi,0,3,3,2,293
N0314V2S0A20R2.avi,0,20,2,2,314
N0311V1S0A42R2.avi,0,42,1,2,311
N0321V1S0A43R2.avi,0,43,1,2,321
N0300V3S0A10R2.avi,0,10,3,2,300
N0322V1S0A49R2.avi,0,49,1,2,322
N0303V3S0A07R2.avi,0,7,3,2,303
N0316V1S0A01R2.avi,0,1,1,2,316
N0298V1S0A27R2.avi,0,27,1,2,298
N0316V3S0A49R2.avi,0,49,3,2,316
N0298V2S0A26R2.avi,0,26,2,2,298
N0332V2S0A19R2.avi,0,19,2,2,332
N0312V3S0A38R2.avi,0,38,3,2,312
N0314V3S0A37R2.avi,0,37,3,2,314
N0328V1S0A16R2.avi,0,16,1,2,328
N0307V1S0A32R2.avi,0,32,1,2,307
N0313V1S0A40R2.avi,0,40,1,2,313
N0322V2S0A09R2.avi,0,9,2,2,322
N0333V1S0A29R2.avi,0,29,1,2,333
N0306V2S0A31R2.avi,0,31,2,2,306
N0296V3S0A48R2.avi,0,48,3,2,296
N0307V1S0A30R2.avi,0,30,1,2,307
N0304V3S0A49R2.avi,0,49,3,2,304
N0318V3S0A24R2.avi,0,24,3,2,318
N0294V2S0A47R2.avi,0,47,2,2,294
N0299V2S0A26R2.avi,0,26,2,2,299
N0325V1S0A41R2.avi,0,41,1,2,325
N0332V2S0A11R2.avi,0,11,2,2,332
N0293V1S0A04R2.avi,0,4,1,2,293
N0294V1S0A22R2.avi,0,22,1,2,294
N0320V3S0A29R2.avi,0,29,3,2,320
N0315V3S0A34R2.avi,0,34,3,2,315
N0310V3S0A40R2.avi,0,40,3,2,310
N0333V1S0A34R2.avi,0,34,1,2,333
N0293V2S0A29R2.avi,0,29,2,2,293
N0327V2S0A37R2.avi,0,37,2,2,327
N0317V1S0A34R2.avi,0,34,1,2,317
N0297V2S0A17R2.avi,0,17,2,2,297
N0295V3S0A39R2.avi,0,39,3,2,295
N0295V1S0A45R2.avi,0,45,1,2,295
N0314V1S0A29R2.avi,0,29,1,2,314
N0290V3S0A19R2.avi,0,19,3,2,290
N0304V3S0A22R2.avi,0,22,3,2,304
N0308V3S0A12R2.avi,0,12,3,2,308
N0306V3S0A49R2.avi,0,49,3,2,306
N0291V2S0A48R2.avi,0,48,2,2,291
N0305V1S0A34R2.avi,0,34,1,2,305
N0323V2S0A04R2.avi,0,4,2,2,323
N0317V1S0A42R2.avi,0,42,1,2,317
N0322V2S0A10R2.avi,0,10,2,2,322
N0305V1S0A28R2.avi,0,28,1,2,305
N0302V3S0A48R2.avi,0,48,3,2,302
N0294V2S0A30R2.avi,0,30,2,2,294
N0290V1S0A04R2.avi,0,4,1,2,290
N0312V2S0A43R2.avi,0,43,2,2,312
N0325V1S0A22R2.avi,0,22,1,2,325
N0292V2S0A05R2.avi,0,5,2,2,292
N0326V1S0A38R2.avi,0,38,1,2,326
N0307V3S0A01R2.avi,0,1,3,2,307
N0322V1S0A09R2.avi,0,9,1,2,322
N0300V3S0A04R2.avi,0,4,3,2,300
N0329V1S0A14R2.avi,0,14,1,2,329
N0322V3S0A09R2.avi,0,9,3,2,322
N0291V1S0A01R2.avi,0,1,1,2,291
N0328V1S0A14R2.avi,0,14,1,2,328
N0291V2S0A33R2.avi,0,33,2,2,291
N0324V1S0A35R2.avi,0,35,1,2,324
N0306V2S0A15R2.avi,0,15,2,2,306
N0315V3S0A45R2.avi,0,45,3,2,315
N0301V1S0A45R2.avi,0,45,1,2,301
N0324V1S0A38R2.avi,0,38,1,2,324
N0295V3S0A42R2.avi,0,42,3,2,295
N0301V2S0A23R2.avi,0,23,2,2,301
N0312V2S0A36R2.avi,0,36,2,2,312
N0322V3S0A10R2.avi,0,10,3,2,322
N0298V2S0A18R2.avi,0,18,2,2,298
N0332V3S0A44R2.avi,0,44,3,2,332
N0333V3S0A23R2.avi,0,23,3,2,333
N0297V2S0A07R2.avi,0,7,2,2,297
N0297V3S0A46R2.avi,0,46,3,2,297
N0305V1S0A50R2.avi,0,50,1,2,305
N0316V2S0A38R2.avi,0,38,2,2,316
N0333V3S0A17R2.avi,0,17,3,2,333
N0302V1S0A39R2.avi,0,39,1,2,302
N0322V3S0A01R2.avi,0,1,3,2,322
N0326V3S0A20R2.avi,0,20,3,2,326
N0295V2S0A37R2.avi,0,37,2,2,295
N0331V1S0A41R1.avi,0,41,1,1,331
N0333V1S0A03R2.avi,0,3,1,2,333
N0292V2S0A01R2.avi,0,1,2,2,292
N0309V3S0A14R2.avi,0,14,3,2,309
N0327V3S0A06R2.avi,0,6,3,2,327
N0295V1S0A06R2.avi,0,6,1,2,295
N0310V2S0A28R2.avi,0,28,2,2,310
N0329V3S0A12R2.avi,0,12,3,2,329
N0317V1S0A50R2.avi,0,50,1,2,317
