video_id,subject,action,camera,repetition,setup
N0137V2S1A50R2.avi,1,50,2,2,137
N0363V1S1A09R2.avi,1,9,1,2,363
N0031V2S1A20R2.avi,1,20,2,2,31
N0078V2S1A30R2.avi,1,30,2,2,78
N0061V2S1A17R2.avi,1,17,2,2,61
N0242V2S1A48R2.avi,1,48,2,2,242
N0283V1S1A09R2.avi,1,9,1,2,283
N0078V2S1A13R2.avi,1,13,2,2,78
N0027V1S1A31R2.avi,1,31,1,2,27
N0102V2S1A30R2.avi,1,30,2,2,102
N0238V3S1A04R2.avi,1,4,3,2,238
N0138V1S1A28R2.avi,1,28,1,2,138
N0158V3S1A37R2.avi,1,37,3,2,158
N0351V2S1A38R2.avi,1,38,2,2,351
N0047V1S1A45R2.avi,1,45,1,2,47
N0267V3S1A38R2.avi,1,38,3,2,267
N0226V3S1A17R2.avi,1,17,3,2,226
N0207V3S1A29R2.avi,1,29,3,2,207
N0112V2S1A29R2.avi,1,29,2,2,112
N0336V1S1A49R2.avi,1,49,1,2,336
N0080V1S1A03R2.avi,1,3,1,2,80
N0099V3S1A10R2.avi,1,10,3,2,99
N0218V3S1A34R2.avi,1,34,3,2,218
N0037V2S1A43R2.avi,1,43,2,2,37
N0218V2S1A31R2.avi,1,31,2,2,218
N0034V2S1A27R2.avi,1,27,2,2,34
N0227V3S1A34R2.avi,1,34,3,2,227
N0066V2S1A34R2.avi,1,34,2,2,66
N0113V3S1A25R2.avi,1,25,3,2,113
N0070V2S1A03R2.avi,1,3,2,2,70
N0336V3S1A33R2.avi,1,33,3,2,336
N0182V1S1A19R2.avi,1,19,1,2,182
N0050V3S1A38R2.avi,1,38,3,2,50
N0171V2S1A38R2.avi,1,38,2,2,171
N0076V1S1A51R2.avi,1,51,1,2,76
N0217V3S1A34R2.avi,1,34,3,2,217
N0262V3S1A17R2.avi,1,17,3,2,262
N0006V2S1A17R2.avi,1,17,2,2,6
N0156V1S1A40R2.avi,1,40,1,2,156
N0363V1S1A08R2.avi,1,8,1,2,363
N0084V2S1A21R2.avi,1,21,2,2,84
N0345V2S1A13R2.avi,1,13,2,2,345
N0052V3S1A37R2.avi,1,37,3,2,52
N0274V3S1A29R2.avi,1,29,3,2,274
N0121V1S1A44R1.avi,1,44,1,1,121
N0094V1S1A16R2.avi,1,16,1,2,94
N0176V1S1A37R2.avi,1,37,1,2,176
N0100V2S1A08R2.avi,1,8,2,2,100
N0038V1S1A30R2.avi,1,30,1,2,38
N0353V2S1A23R2.avi,1,23,2,2,353
N0186V2S1A46R2.avi,1,46,2,2,186
N0134V3S1A24R2.avi,1,24,3,2,134
N0258V3S1A29R2.avi,1,29,3,2,258
N0278V3S1A31R2.avi,1,31,3,2,278
N0113V2S1A10R2.avi,1,10,2,2,113
N0085V2S1A24R2.avi,1,24,2,2,85
N0033V3S1A43R2.avi,1,43,3,2,33
N0068V3S1A33R2.avi,1,33,3,2,68
N0357V2S1A08R2.avi,1,8,2,2,357
N0033V3S1A38R2.avi,1,38,3,2,33
N0202V3S1A33R2.avi,1,33,3,2,202
N0353V2S1A39R2.avi,1,39,2,2,353
N0030V1S1A51R2.avi,1,51,1,2,30
N0353V1S1A35R2.avi,1,35,1,2,353
N0131V3S1A07R2.avi,1,7,3,2,131
N0275V2S1A23R2.avi,1,23,2,2,275
N0208V1S1A17R2.avi,1,17,1,2,208
N0041V2S1A50R2.avi,1,50,2,2,41
N0143V1S1A42R1.avi,1,42,1,1,143
N0147V2S1A45R2.avi,1,45,2,2,147
N0027V3S1A04R2.avi,1,4,3,2,27
N0152V1S1A08R2.avi,1,8,1,2,152
N0342V1S1A19R2.avi,1,19,1,2,342
N0162V1S1A51R2.avi,1,51,1,2,162
N0129V3S1A39R2.avi,1,39,3,2,129
